model,question,reference,prediction,em,f1,retrieval_hit,needs_retrieval,latency,num_queries
Baseline,where does chicken pox live in the body,nerve tissues,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.7064645290374756,1
Baseline,the persian gulf war began when iraq invaded what country,Kuwait,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.43189072608947754,1
Baseline,soaking the jute plants in water is called,retting,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4611189365386963,1
Baseline,who are the green bay packers owned by,The Green Bay Packers Board of Directors,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4593324661254883,1
Baseline,who is the patron saint for lost causes,Saint Jude the Apostle,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3375515937805176,1
Baseline,who sings lead vocals on aerosmith dream on,Steven Tyler,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4415915012359619,1
Baseline,who is on the cover of life of pablo,Sheniz H,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4165918827056885,1
Baseline,what country does the united states export the most product to,China,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4160904884338379,1
Baseline,where did the pittsburgh steelers get their name,"based on the ""Steelmark '', originally designed by Pittsburgh 's U.S",Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.35707592964172363,1
Baseline,when does episode 2 of star trek discovery come on,"September 24, 2017",Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4414241313934326,1
Baseline,where was paper planes filmed in western australia,at an abandoned school in Gidgegannup,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.34044718742370605,1
Baseline,visual signs of spoilage for fruits and vegetables,change in color,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.345623254776001,1
Baseline,how many fans fit in penn state stadium hold,"106,572",Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.36582112312316895,1
Baseline,who sang lead vocals on go your own way,Lindsey Buckingham,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.34900856018066406,1
Baseline,generates the byte code for a given file with .java extension,the Java virtual machine (JVM),Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3934638500213623,1
Baseline,where did the attack on pearl harbor occur,"the United States naval base at Pearl Harbor, Hawaii Territory",Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3377392292022705,1
Baseline,when did bob dylan wrote knockin on heavens door,"July 13, 1973",Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3659064769744873,1
Baseline,when did australia qualify for the world cup,1974,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.44841623306274414,1
Baseline,anatomical structure that is part of both the digestive and respiratory systems,the pharynx,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.35602855682373047,1
Baseline,when did the last recession began and end,began in December 2007 and ended in June 2009,Error generating answer: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.08695652173913045,False,,0.3385155200958252,1
A²-RAG,where does chicken pox live in the body,nerve tissues,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.6152036190032959,0
A²-RAG,the persian gulf war began when iraq invaded what country,Kuwait,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.340364933013916,0
