model,question,predicted_answer,ground_truth,EM,F1,Hit_Rate,retrieval_used,latency_sec
Baseline,where does chicken pox live in the body,nerve tissues,nerve tissues,1,1.0000,0,0,0.955
Baseline,the persian gulf war began when iraq invaded what country,Kuwait,Kuwait,1,1.0000,0,0,0.488
Baseline,soaking the jute plants in water is called,retting,retting,1,1.0000,0,0,0.512
Baseline,who are the green bay packers owned by,The Green Bay Packers Board of Directors.,The Green Bay Packers Board of Directors,1,1.0000,0,0,0.559
Baseline,who is the patron saint for lost causes,Saint Jude the Apostle,Saint Jude the Apostle,1,1.0000,0,0,0.659
Baseline,who sings lead vocals on aerosmith dream on,Steven Tyler,Steven Tyler,1,1.0000,0,0,0.466
Baseline,who is on the cover of life of pablo,I cannot answer based on the provided context.,Sheniz H,0,0.0000,0,0,0.641
Baseline,what country does the united states export the most product to,I cannot answer based on the provided context.,China,0,0.0000,0,0,0.617
Baseline,where did the pittsburgh steelers get their name,The Pittsburgh Steelers got their name from the steel industry.,"based on the ""Steelmark '', originally designed by Pittsburgh 's U.S",0,0.1176,0,0,0.616
Baseline,when does episode 2 of star trek discovery come on,I cannot answer based on the provided context.,"September 24, 2017",0,0.0000,0,0,0.870
Baseline,where was paper planes filmed in western australia,"Gidgegannup, Baldivis, Challenge Stadium, Whiteman Park, Perth Zoo, and the Aviation Heritage Museum in Bull Creek.",at an abandoned school in Gidgegannup,0,0.2000,0,0,0.992
Baseline,visual signs of spoilage for fruits and vegetables,"Signs of food spoilage may include an appearance different from the food in its fresh form, such as a change in color, a change in texture, an unpleasant odor, or an undesirable taste.",change in color,0,0.2308,0,0,0.767
Baseline,how many fans fit in penn state stadium hold,"106,572 fans.","106,572",0,0.6667,0,0,0.613
Baseline,who sang lead vocals on go your own way,Lindsey Buckingham,Lindsey Buckingham,1,1.0000,0,0,0.467
Baseline,generates the byte code for a given file with .java extension,I cannot answer based on the provided context.,the Java virtual machine (JVM),0,0.0000,0,0,0.950
Baseline,where did the attack on pearl harbor occur,"Pearl Harbor, Hawaii Territory","the United States naval base at Pearl Harbor, Hawaii Territory",0,0.6154,0,0,0.539
Baseline,when did bob dylan wrote knockin on heavens door,February 1973,"July 13, 1973",0,0.4000,0,0,0.643
Baseline,when did australia qualify for the world cup,"Australia qualified for the FIFA World Cup in 1974, 2006, 2010, and 2014.",1974,0,0.1538,0,0,0.700
